암호화된요양기호,요양기관명,요양종별,시도명,시군구명,도로명주소,표시과목명,개설일자
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxMzUxIzMxIyQxIyQzIyQ3MiQ0NjE0ODEjNjEjJDEjJDgjJDgz,아산마디정형외과의원,의원,경기도,의정부시,"경기도 의정부시 용민로 391, 예스프라자 시그니처 3층 (낙양동)",정형외과,2022-08-18
JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxMzUxIzUxIyQxIyQ1IyQ2MiQyNjEwMDIjNTEjJDEjJDIjJDgz,아산마이유외과의원,의원,서울특별시,중랑구,"서울특별시 중랑구 상봉로 134, 3층 303호 (망우동, 삼부)",외과,2023-03-20
JDQ4MTYyMiM1MSMkMiMkNCMkMDAkMzgxOTYxIzQxIyQxIyQ3IyQ5OSQyNjEwMDIjNTEjJDEjJDIjJDgz,아산마취통증의학과의원,의원,강원특별자치도,춘천시,강원특별자치도 춘천시 중앙로 104 (낙원동),마취통증의학과,2008-05-21
JDQ4MTYyMiM1MSMkMiMkNCMkMDAkMzgxMTkxIzExIyQxIyQzIyQ2MiQ0NjE0ODEjNjEjJDEjJDQjJDgz,아산마취통증의학과의원,의원,강원특별자치도,강릉시,"강원특별자치도 강릉시 교동광장로 105, 3층 (교동)",마취통증의학과,2016-11-04
JDQ4MTYyMiM1MSMkMiMkNCMkMDAkMzgxMzUxIzUxIyQxIyQxIyQxMyQ0NjEwMDIjNDEjJDEjJDQjJDgz,아산맑은내과의원,의원,강원특별자치도,강릉시,강원특별자치도 강릉시 성덕포남로 189 (포남동),내과,1995-06-07
JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxOTYxIzMxIyQyIyQzIyQwMCQ0NjE0ODEjNTEjJDEjJDIjJDgz,아산메가정형외과의원,의원,서울특별시,강서구,"서울특별시 강서구 화곡로 142, 메가박스 3층 302, 303, 304호 (화곡동)",정형외과,2024-05-22
JDQ4MTYyMiM2MSMkMiMkMiMkMDAkNDgxMzUxIzUxIyQxIyQxIyQ3MiQyNjEwMDIjNjEjJDEjJDAjJDgz,아산메디의원,의원,충청남도,아산시,충청남도 아산시 둔포면 아산밸리중앙로 82,일반의,2016-08-09
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxOTYxIzIxIyQxIyQ5IyQ3MiQ0NjE0ODEjNDEjJDEjJDgjJDgz,아산미즈영상의학과의원,의원,서울특별시,송파구,"서울특별시 송파구 강동대로 74, 5층 501,502호 (풍납동)",영상의학과,2020-05-04
JDQ4MTYyMiM2MSMkMSMkMiMkMDMkNDgxMzUxIzUxIyQxIyQ1IyQ2MiQ0NjE0ODEjNTEjJDEjJDYjJDgz,아산바로약국,약국,충청남도,아산시,"충청남도 아산시 모종남로12번길 8, 충무메디타워 201호 (모종동)",해당사항없음,2025-09-16
JDQ4MTYyMiM2MSMkMiMkMiMkMDAkNDgxOTYxIzQxIyQxIyQ3IyQ4OSQyNjE4MzIjNDEjJDEjJDgjJDgz,아산바로튼튼의원,의원,충청남도,아산시,"충청남도 아산시 신창면 남성길 134, 2층 203-1,204-1호",일반의,2025-01-22
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxMzUxIzUxIyQxIyQ1IyQ3OSQzNjEyMjIjNjEjJDEjJDAjJDgz,아산바른내과의원,의원,서울특별시,강서구,"서울특별시 강서구 등촌로5길 2, 4층 (화곡동)",내과,2019-03-27
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxOTYxIzIxIyQxIyQxIyQ5OSQzNjEwMDIjNDEjJDEjJDgjJDgz,아산바른내과의원,의원,서울특별시,동작구,"서울특별시 동작구 상도로 345, 3,4층 (상도동)",내과,2019-12-11
JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxMzUxIzQxIyQxIyQ3IyQ5OSQyNjE0ODEjNzEjJDEjJDgjJDgz,아산바른내과의원,의원,서울특별시,구로구,"서울특별시 구로구 구로동로26길 8, 기산빅프라자 4층 401호 (구로동)",내과,2022-09-22
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxMzUxIzExIyQxIyQ3IyQxMyQyNjE4MzIjODEjJDEjJDYjJDgz,아산바른내과의원,의원,경기도,하남시,"경기도 하남시 감일백제로180번길 9, 감일호평프라자 7층 701호~706호 (감이동)",내과,2022-02-17
JDQ4MTYyMiM2MSMkMSMkMiMkMDMkNDgxMzUxIzIxIyQyIyQ1IyQwMCQyNjE0ODEjNTEjJDEjJDIjJDgz,아산바른약국,약국,충청남도,아산시,"충청남도 아산시 신창면 남성길 134, 1층 102호",해당사항없음,2025-02-05
JDQ4MTYyMiM2MSMkMiMkNiMkMDAkMzgxMTkxIzMxIyQxIyQ3IyQ4MiQzNjEwMDIjNjEjJDEjJDAjJDgz,아산바른윤내과의원,의원,전북특별자치도,전주시 덕진구,"전북특별자치도 전주시 덕진구 세병로 176, 3층 (송천동2가)",내과,2019-08-14
JDQ4MTYyMiM1MSMkMSMkMCMkNzIkNDgxOTYxIzMxIyQxIyQzIyQ5OSQyNjE4MzIjNTEjJDEjJDYjJDgz,아산바우치과의원,치과의원,인천광역시,남동구,"인천광역시 남동구 남동대로799번길 34, 판매시설동 D동 2층 205,206,207,208호 (구월동, 신영구월지웰시티푸르지오)",치과,2016-06-16
JDQ4MTg4MSM1MSMkMiMkNCMkMDAkNTgxMzUxIzUxIyQxIyQ1IyQwMyQyNjEwMDIjNDEjJDEjJDgjJDgz,아산박내과의원,의원,서울특별시,광진구,"서울특별시 광진구 뚝섬로 498, 서울클리닉빌딩 2층 (자양동)",내과,1982-03-26
JDQ4MTYyMiM2MSMkMiMkMiMkMDAkNDgxOTYxIzExIyQxIyQzIyQ3MiQzNjEwMDIjNDEjJDEjJDgjJDgz,아산베리굿신경외과의원,의원,충청남도,아산시,"충청남도 아산시 모종로 5, 6층 (모종동)",신경외과,2018-04-11
JDU4MTI3MSM1MSMkMiMkMCMkMDAkNTgxOTYxIzExIyQxIyQzIyQwMyQ0NjE0ODEjNDEjJDEjJDgjJDgz,아산베스트내과의원,의원,인천광역시,미추홀구,"인천광역시 미추홀구 인하로221번길 6, 3~4층 (주안동)",내과,2023-08-09
JDQ4MTg4MSM1MSMkMiMkOCMkMDAkMzgxOTYxIzIxIyQxIyQ1IyQ3MiQzNjE0ODEjNDEjJDEjJDgjJDgz,아산베스트이비인후과의원,의원,서울특별시,마포구,"서울특별시 마포구 월드컵로3길 14, 3층 309, 310, 311호 (합정동, 마포 한강 2차 푸르지오)",이비인후과,2024-02-23
JDQ4MTYyMiM2MSMkMSMkMiMkNzIkMzgxMTkxIzIxIyQxIyQxIyQ2MiQzNjEyMjIjODEjJDEjJDIjJDgz,아산베스트치과의원,치과의원,충청남도,아산시,"충청남도 아산시 시민로 294, 3층 (용화동)",치과,2024-06-23
